# time x y z qx qy qz qw vx vy vz ba_x ba_y ba_z bg_x bg_y bg_z
0.510000000 9.995989467 9.983964303 9.935960070 0.219545004 0.209765940 0.144560956 0.941753881 -0.015725476 -0.062851451 -0.250599509 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.515000000 9.995910455 9.983648509 9.934700983 0.221633711 0.211381392 0.146231627 0.940644841 -0.015879564 -0.063466303 -0.253034998 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.520000000 9.995830672 9.983329640 9.933429721 0.223718180 0.212987151 0.147904207 0.939527006 -0.016033649 -0.064081116 -0.255469862 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.525000000 9.995750118 9.983007698 9.932146286 0.225798333 0.214583205 0.149578605 0.938400449 -0.016187732 -0.064695890 -0.257904095 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.530000000 9.995668794 9.982682681 9.930850681 0.227874096 0.216169545 0.151254732 0.937265240 -0.016341812 -0.065310624 -0.260337693 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.535000000 9.995586700 9.982354591 9.929542910 0.229945393 0.217746162 0.152932500 0.936121453 -0.016495890 -0.065925318 -0.262770648 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.540000000 9.995503836 9.982023428 9.928222976 0.232012149 0.219313049 0.154611820 0.934969162 -0.016649965 -0.066539971 -0.265202955 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.545000000 9.995420200 9.981689192 9.926890882 0.234074289 0.220870198 0.156292602 0.933808441 -0.016804038 -0.067154583 -0.267634607 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.550000000 9.995335795 9.981351882 9.925546631 0.236131740 0.222417605 0.157974758 0.932639366 -0.016958108 -0.067769153 -0.270065599 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.555000000 9.995250619 9.981011500 9.924190227 0.238184429 0.223955262 0.159658199 0.931462011 -0.017112175 -0.068383682 -0.272495925 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.560000000 9.995164673 9.980668046 9.922821673 0.240232283 0.225483166 0.161342838 0.930276454 -0.017266240 -0.068998168 -0.274925578 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.565000000 9.995077957 9.980321519 9.921440972 0.242275230 0.227001313 0.163028587 0.929082772 -0.017420302 -0.069612612 -0.277354553 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.570000000 9.994990470 9.979971920 9.920048128 0.244313200 0.228509700 0.164715356 0.927881042 -0.017574361 -0.070227013 -0.279782844 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.575000000 9.994902213 9.979619249 9.918643145 0.246346121 0.230008325 0.166403059 0.926671345 -0.017728418 -0.070841371 -0.282210444 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.580000000 9.994813186 9.979263506 9.917226025 0.248373924 0.231497187 0.168091608 0.925453758 -0.017882472 -0.071455685 -0.284637348 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.585000000 9.994723389 9.978904692 9.915796772 0.250396539 0.232976284 0.169780916 0.924228362 -0.018036523 -0.072069955 -0.287063550 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.590000000 9.994632821 9.978542807 9.914355391 0.252413897 0.234445618 0.171470896 0.922995238 -0.018190572 -0.072684180 -0.289489043 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.595000000 9.994541483 9.978177850 9.912901883 0.254425930 0.235905189 0.173161461 0.921754466 -0.018344617 -0.073298361 -0.291913822 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.600000000 9.994449375 9.977809823 9.911436254 0.256432571 0.237354999 0.174852524 0.920506130 -0.018498660 -0.073912496 -0.294337881 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
0.605000000 9.994356496 9.977438725 9.909958506 0.258433753 0.238795051 0.176543998 0.919250312 -0.018652700 -0.074526586 -0.296761213 0.001000000 0.002000000 0.003000000 0.002000000 0.003000000 0.004000000
